Date,Confirmed_Cases,Recovered,Deaths
2/27/2020,1,0,0
2/28/2020,1,0,0
2/29/2020,1,0,0
3/1/2020,1,0,0
3/2/2020,1,0,0
3/3/2020,1,0,0
3/4/2020,1,0,0
3/5/2020,1,0,0
3/6/2020,1,0,0
3/7/2020,1,0,0
3/8/2020,1,0,0
3/9/2020,2,0,0
3/10/2020,2,0,0
3/11/2020,2,0,0
3/12/2020,2,0,0
3/13/2020,2,0,0
3/14/2020,2,1,0
3/15/2020,2,1,0
3/16/2020,3,1,0
3/17/2020,3,1,0
3/18/2020,8,1,0
3/19/2020,12,1,0
3/20/2020,22,0,0
3/21/2020,25,2,0
3/22/2020,30,2,0
3/23/2020,40,2,1
3/24/2020,44,2,1
3/25/2020,51,2,1
3/26/2020,65,3,1
3/27/2020,81,3,1
3/28/2020,97,3,1
3/29/2020,111,3,1
3/30/2020,131,8,2
3/31/2020,139,9,2
4/1/2020,174,9,2
4/2/2020,184,20,2
4/3/2020,209,25,4
4/4/2020,214,25,4
4/5/2020,232,33,5
4/6/2020,238,35,5
4/7/2020,254,44,6
4/8/2020,276,44,6
4/9/2020,288,51,7
4/10/2020,305,58,7
4/11/2020,318,70,10
4/12/2020,323,85,10
4/13/2020,343,91,10
4/14/2020,373,99,11
4/15/2020,407,128,12
4/16/2020,442,152,13
4/17/2020,493,159,17
4/18/2020,542,166,19
4/19/2020,627,170,21
4/20/2020,665,188,22
4/21/2020,782,197,25
4/22/2020,873,197,28
4/23/2020,981,197,31
4/24/2020,1095,208,32
4/25/2020,1182,222,35
4/26/2020,1273,239,40
4/27/2020,1337,251,40
4/28/2020,1532,255,44
4/29/2020,1728,307,51
4/30/2020,1932,319,58
5/1/2020,2170,351,68
5/2/2020,2388,385,85
5/3/2020,2558,393,87
5/4/2020,2950,481,98
5/5/2020,2802,417,93
5/6/2020,3145,534,103
5/7/2020,3526,601,107
5/8/2020,3912,679,117
5/9/2020,4151,745,128
5/10/2020,4399,778,143
